luminus-app,0,12191.593805,4340.207395,48344.274930,106635.590700,0,0
luminus-app,100,309.610788,110.221441,1164725.239963,98982.793203,0,0
luminus-app,200,157.123450,55.935948,1006951.336806,517017.791937,9152,9152
luminus-app,300,104.907368,37.347023,1056790.270833,514312.177458,6112,6112
luminus-app,400,78.834602,28.065118,1011273.070312,448985.442731,4608,4608
luminus-app,500,62.829519,22.367309,1008750.781250,409496.124366,3680,3680
luminus-app,600,52.186431,18.578369,1208747.906250,489896.743225,3040,3040
luminus-app,700,44.227403,15.744955,1504357.615385,327739.432300,2606,2606
luminus-app,800,37.946024,13.508784,1939124.500000,1749.728632,2272,2272
luminus-app,900,33.012263,11.752366,0.000000,0.000000,1984,1984
luminus-app,1000,29.284478,10.425274,0.000000,0.000000,1760,1760
luminus-app,1100,25.893119,9.217950,0.000000,0.000000,1556,1556
luminus-app,1200,23.365041,8.317955,0.000000,0.000000,1404,1404
luminus-app,1300,21.049283,7.493545,0.000000,0.000000,1265,1265
luminus-app,1400,19.103237,6.800752,0.000000,0.000000,1148,1148
luminus-app,1500,17.373395,6.184929,0.000000,0.000000,1044,1044
